Brand Number|Size|Code|Pack Type|Product Name|MRP
0012|NN|NN|G|LIONSGATE DOUBLE BLACK RARE WHISKY|220
0019|DD|DD|G|MCDOWELLS NO 1 LUXURY WHISKY|100
0019|DD|DD|P|MCDOWELLS NO 1 LUXURY WHISKY|100
0019|LL|LL|G|MCDOWELLS NO 1 LUXURY WHISKY|1010
0019|NN|NN|G|MCDOWELLS NO 1 LUXURY WHISKY|190
0019|PP|PP|G|MCDOWELLS NO 1 LUXURY WHISKY|380
0019|QQ|QQ|G|MCDOWELLS NO 1 LUXURY WHISKY|760
0021|QQ|QQ|G|APPLE PREMIUM VODKA|800
0044|NN|NN|G|CAPTAIN MORGAN RESERVE THE ORIGINAL RUM|190
0045|DD|DD|P|OLD ADMIRAL SPECIAL VSOP BRANDY|80
0045|LL|LL|P|OLD ADMIRAL SPECIAL VSOP BRANDY|760
0045|NN|NN|G|OLD ADMIRAL SPECIAL VSOP BRANDY|140
0045|NN|NN|P|OLD ADMIRAL SPECIAL VSOP BRANDY|140
0045|QQ|QQ|P|OLD ADMIRAL SPECIAL VSOP BRANDY|560
0048|NN|NN|G|OLD MONK RUM VERY OLD VATTED|190
0048|NN|NN|P|OLD MONK RUM VERY OLD VATTED|190
0048|PP|PP|G|OLD MONK RUM VERY OLD VATTED|380
0048|PP|PP|P|OLD MONK RUM VERY OLD VATTED|380
0048|QQ|QQ|G|OLD MONK RUM VERY OLD VATTED|760
0048|QQ|QQ|P|OLD MONK RUM VERY OLD VATTED|760
0064|JM|JM|G|ROGER BLACK BLENDED SCOTCH WHISKY|2480
0064|JM|JM|G|ROGER BLACK BLENDED SCOTCH WHISKY|2810
0094|CP|CP|G|ABSOLUT RASPBERRI|660
0094|CP|CP|G|ABSOLUT RASPBERRI|820
0094|QQ|QQ|G|ABSOLUT RASPBERRI|2080
0094|QQ|QQ|G|ABSOLUT RASPBERRI|2530
0110|DD|DD|G|OFFICER`S CHOICE RESERVE WHISKY|90
0110|DD|DD|P|OFFICER`S CHOICE RESERVE WHISKY|90
0110|LL|LL|P|OFFICER`S CHOICE RESERVE WHISKY|830
0110|NN|NN|G|OFFICER`S CHOICE RESERVE WHISKY|160
0110|NN|NN|P|OFFICER`S CHOICE RESERVE WHISKY|160
0110|PP|PP|G|OFFICER`S CHOICE RESERVE WHISKY|320
0110|PP|PP|P|OFFICER`S CHOICE RESERVE WHISKY|320
0110|QQ|QQ|G|OFFICER`S CHOICE RESERVE WHISKY|640
0110|QQ|QQ|P|OFFICER`S CHOICE RESERVE WHISKY|640
0122|QM|QM|G|BRANCOTT ESTATE SAUVIGNON BLANC|2620
0122|QM|QM|G|BRANCOTT ESTATE SAUVIGNON BLANC|2960
0124|QQ|QQ|G|CAMPO VIEJO RIOJA|2130
0124|QQ|QQ|G|CAMPO VIEJO RIOJA|2490
0127|LL|LL|G|ARISTOCRAT PREMIUM DELUXE WHISKY|1000
0144|QM|QM|G|GH MUMM ROSE|10740
0163|QQ|QQ|G|FRATELLI SANGIOVESE BIANCO|1390
0174|NN|NN|G|DEMAND NO.1 XXX RUM|140
0174|NN|NN|P|DEMAND NO.1 XXX RUM|140
0177|QM|QM|G|SETTE|3240
0179|QQ|QQ|G|MS CHARDONNAY SAUVIGNON BLANC|1640
0187|NN|NN|G|OLD FOX FINE WHISKY|150
0187|NN|NN|P|OLD FOX FINE WHISKY|150
0191|NN|NN|G|GOLDEN PRIDE PREMIUM WHISKY|100
0191|PP|PP|G|GOLDEN PRIDE PREMIUM WHISKY|200
0235|NN|NN|G|TEACHERS 50 BLENDED SCOTCH WHISKY|800
0235|NN|NN|P|TEACHERS 50 BLENDED SCOTCH WHISKY|800
0235|OO|OO|P|TEACHERS 50 BLENDED SCOTCH WHISKY|280
0235|PP|PP|G|TEACHERS 50 BLENDED SCOTCH WHISKY|1600
0235|QQ|QQ|G|TEACHERS 50 BLENDED SCOTCH WHISKY|3200
0239|LL|LL|G|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|2870
0239|NN|NN|G|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|580
0239|NN|NN|P|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|580
0239|OO|OO|G|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|210
0239|OO|OO|P|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|210
0239|PP|PP|G|TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY|1160
